corpus: preloaded/ententen20_tt31_1
subcorpus: English Wikipedia
size: 1082464
query: Query:[lempos_lc="(create)-v"], GDEX:1000
Reference,Sentence
wikipedia.org | <s> It was created in 1954, combining four smaller districts. </s> 
wikipedia.org | <s> While the instrumental portion of Scott's songs rely primarily on the acoustic guitar, Scott has drawn upon the talents of numerous musicians with a variety of sometimes unusual instruments (especially in relation to the genre of the song) to create a particular ambience through an innovative blend of instrumental sounds. </s> 
wikipedia.org | <s> Stott analogised making his music as a scientist who creates compounds by figuring out formulas that use studio gadgets and parts of other music. </s> 
wikipedia.org | <s> As member (appointed by the Governor) of the Pennsylvania Science and Engineering Foundation, he was one of the leading forces in creating and launching the Ben Franklin Partnership Program, now the Ben Franklin Technology Partners of Pennsylvania. </s> 
wikipedia.org | <s> Pope Benedict XVI created him Cardinal in the consistory of 24 November 2007, assigned to the titular church of San Salvatore in Lauro with the rank of cardinal-deacon. </s> 
wikipedia.org | <s> Classically trained in Bharat Natyam, she has also received formal training in Kathakali, Mohiniattam, and T'ai chi and Kalarippayattu, thus creating a dance style which she has coined "Neo Bharat Natyam". </s> 
wikipedia.org | <s> She created prominent monuments for public sites, like the United States Capitol, of historical figures Samuel Adams, Charles Sumner, and Leif Erikson. </s> 
wikipedia.org | <s> The increase of visitors and the many new houses being built around the temple created much noise, which made it difficult for the practice of Zazen to continue at the Kyoto location. </s> 
wikipedia.org | <s> In April 2019 Antonia presented Shift for The Emerging Choreographers Program at the 92stY, New York, and most recently created Liberandum for Joaquín De Luz for Theatre Real Madrid and Skirball in June 2019. </s> 
wikipedia.org | <s> Finally, 80,000 years ago, another arginine to cysteine substitution at amino acid 158 (Arg158Cys) of the APOE3 gene created the E2 allele. </s> 
wikipedia.org | <s> The coating, created using an extremely hydrophobic and highly fluorinated ether (HFE), 1,1,2,2-Tetrafluoroethyl-2',2',2'-trifluoroethyl ether, expelled water molecules from the electrode surface. </s> 
wikipedia.org | <s> The School Group Caravelas Marquis, former School of Arapongas Group, was founded in 1943, even before the city of Arapongas be created in the government of Mayor Miguel Blasi, of Londrina and the governor of the state Moysés Lupion. </s> 
wikipedia.org | <s> In Southern Italy, from the 8th century BC, the Greek colonists who created what was known as Magna Graecia used to build their buildings in their own style. </s> 
wikipedia.org | <s> The theatre runs one of East London's most extensive arts engagement programmes, creating over 5000 opportunities for the local community every year. </s> 
wikipedia.org | <s> Together with the agreement's rights upon future offers ("RUFO") clause, this created a deadlock in which the 93% of renegotiated bondholders could not be paid without paying the 7% holdouts, but any payment to the holdouts would potentially (according to Argentina) trigger the 93% being due repayment at full value too; a sum of around $100 billion that Argentina could not afford. </s> 
wikipedia.org | <s> Under him the Mechitarist community in Vienna prospered, its library was increased, a bookstore added to the printing press, and an abundant religious literature created , in Armenian and in German. </s> 
wikipedia.org | <s> On the recommendations of the BC Roy Committee, remnants of the Indian Army Medical Corps units were amalgamated into one unit to create the Armed Forces Medical College. </s> 
wikipedia.org | <s> The street entrances thus approached the carriage house through the garden creating a circular drive, with one side passing through the porte-cochere. </s> 
wikipedia.org | <s> Having conceived of many various possible and artificial phonemes, created recordings of them, and grouped them into various categories and bins, Ligeti created a formula (and many tables) to determine the maximum length of each tape used (the louder the shorter), and then went through a process of grabbing randomly, without-looking, similar "phonemes" out of their bins, combining them into "texts", and then cutting these in half, down to "words". </s> 
wikipedia.org | <s> Sue Corke and Hagen Betzweiser created an installation "Enter At Own Risk" in which a lone astronaut gardens a group of rocks, spraying them with their synthesised smell of the moon, a recipe based on reports from the Apollo crew. </s> 
wikipedia.org | <s> The single-room hotels for rail workers to the northwest, and the growth of Little Tokyo to the west and Chinatown to the north, created a mix of working-class and cosmopolitan. </s> 
wikipedia.org | <s> For the latter, the glory was not created by God, but emanated from God in a similar manner to the way that light emanates from the sun. </s> 
wikipedia.org | <s> The section of Ashton-in-Makerfield within the Metropolitan Borough of Wigan creates the Bryn & Ashton Township, consisting of the six 'neighbourhoods' of Bryn, Ashton, Ashton Heath, Landgate, Stubshaw Cross and Town Green, and one of the ten areas into which Wigan Metropolitan Borough has been divided for consultation purposes. </s> 
wikipedia.org | <s> Committee to Protect Journalists: "Through his journalism Hrant Dink sought to shed light on Turkey's troubled past and create a better future for Turks and Armenians. </s> 
wikipedia.org | <s> With two bandoneons (Piazzolla and Leopoldo Federico), two violins (Enrique Mario Francini and Hugo Baralis), double bass (Juan Vasallo), cello (José Bragato), piano (Atilio Stampone), and an electric guitar (Horacio Malvicino), his Octeto effectively broke the mould of the traditional orquesta típica and created a new sound akin to chamber music, without a singer and with jazz-like improvisations. </s> 
wikipedia.org | <s> Many commercially available DSLR cameras have the ability to take long time exposures combined with sequential (time-lapse) images allowing the photographer to create a motion picture of the night sky. </s> 
wikipedia.org | <s> It is being supervised and managed by the Aurora Pacific Economic Zone and Freeport Authority into a self-sustaining industrial, commercial, financial, and recreational center, with a suitable residential area, in order to create employment opportunities around Casiguran, Aurora, and to effectively encourage and attract legitimate and productive local and foreign investments. </s> 
wikipedia.org | <s> Vanuatu also has a unique tradition of sand drawing, by which images are created by a single continuous line drawn in the sand. </s> 
wikipedia.org | <s> Later the other clubs that became part of SSC "Cherno more" – "Vladislav" and "Diana", created their basketball teams. </s> 
wikipedia.org | <s> The khene (also spelled khaen, kaen and khen; Lao: ແຄນ, Thai: แคน) is a mouth organ of Lao origin whose pipes, which are usually made of bamboo, are connected with a small, hollowed-out hardwood reservoir into which air is blown, creating a sound similar to that of the cello. </s> 
wikipedia.org | <s> Both illusion and device are always manifest cameras, studio lights, tripods are often all visible, as if you are not interested in creating a seamless image of constructed reality, or a constructed moment. </s> 
wikipedia.org | <s> The difficult terrain enabled the German army to create a defensive frontier along the line of Windhuk and Keetmanshoop, and troops were also stationed adjacent to the two regional railroads. </s> 
wikipedia.org | <s> Businesses along El Camino created the El Camino Real Association to protest the move and resulting loss of business, and by 1939 the main route had been moved back, with the Bayshore Highway becoming U.S. Route 101 Bypass. </s> 
wikipedia.org | <s> Material builds up on the downdrift side, where littoral drift is predominantly in one direction, creating a wider and a more plentiful beach. </s> 
wikipedia.org | <s> This solution entails beach nourishment ( creating recreational area by filling with sand), and further beach expansion and prevention of beach erosion caused by longshore drift and coastal development hazards. </s> 
wikipedia.org | <s> The first clone of Parker suffers from clone degeneration and is dismissed, but successful clones of both Parker and Stacy with stable cell structures are later created . </s> 
wikipedia.org | <s> The College's collections moved from various campus buildings to the former Pratt Gymnasium in the 1940s, creating the Pratt Museum of Natural History. </s> 
wikipedia.org | <s> Some of the elastomers are adjustable by stacking different combinations of elastomer rings to create a specific profile and ramping up of the suspension. </s> 
wikipedia.org | <s> Obama signed Executive Order 13522 in 2009, which created the 10 person National Council on Federal Labor-Management Relations to advise the president on labor-management relations in the executive branch. </s> 
wikipedia.org | <s> He attended Harvard where he received his Bachelor of Arts degree in 1965, where he created the Ashoka Table, bringing in prominent government, union, and church leaders for off-the-record dinners at which students could ask "how things really worked". </s> 
wikipedia.org | <s> This angered Beyoncé and she left the studio pledging to create a full-length film that will tell the real story with the help of actual Africans instead of using lions and animation, and show the regalness and beauty of Africans before colonialism and slavery erased their past. </s> 
wikipedia.org | <s> Prefaced to the story are short essays produced by editor, Christian Dunn, about the nature of heroes and following the story is the ending original created by Dan Abnett. </s> 
wikipedia.org | <s> Path of the Furon, you acquire a new upgrade for Crypto's gun later in the game called the Black Hole Gun, in which it creates one after charging the weapon and firing. </s> 
wikipedia.org | <s> When global temperatures were low, as in much of the Ordovician, the large difference in temperature between equator and poles created different collections of fossils at different latitudes. </s> 
wikipedia.org | <s> By 1983 they had created a monthly band topics video magazine called WINDS and the area of operations for recordings expanded to cover the entirety of Japan. </s> 
wikipedia.org | <s> He chose to create a "decorative painting representing various Dominions and parts of the British Empire", and five finished panels were displayed in 1930. </s> 
wikipedia.org | <s> Poor people, in desperation, turned to the Governor, who responded by creating a little relief work–stone-breaking for US$0.10 a day. </s> 
wikipedia.org | <s> While working for WLUP, Wolf created a character named "Chet Chitchat", a blended caricature of Chicago sportscasters Chet Coppock and Chuck Swirsky, his predecessor at WLUP, which became a weekly feature on the station's morning program. </s> 
wikipedia.org | <s> In 2007, online survey hosting company QuestionPro and Buddy TV created a new way for advertisers to learn about the viewers of television series which featured their ads. </s> 
wikipedia.org | <s> He created the role of Erie Smith in the English-language premiere of Eugene O'Neill's Hughie at the Theater Royal in Bath, England in 1963. </s> 
wikipedia.org | <s> In 1991, he was elected chairman of the Competitiveness Policy Council, created by the Congress, and led the council for several years with distinction. </s> 
wikipedia.org | <s> Super headends also create a cost-effective environment for cable operators as the amount of equipment and faculties is greatly reduced and the signals can be replicated and transmitted to local hubs that feed a community or city. </s> 
wikipedia.org | <s> The municipality contains part of the 230,296 hectares (569,070 acres) of the Caminhos Ecológicos da Boa Esperança Environmental Protection Area, created in 2003. </s> 
wikipedia.org | <s> Pending the 2015 passage of Indiana's Religious Freedom Restoration Act (RFRA), Bill Levin created the First Church of Cannabis in Indiana. </s> 
wikipedia.org | <s> Shortly after, the British inventor and merchant Peter Durand patented his own method, this time in a tin can, creating the modern-day process of canning foods. </s> 
wikipedia.org | <s> The road would create cohesion between the British colonies of Africa, it was thought, and give Britain the most important and dominant political and economic influence over the continent, securing its position as a global colonial power. </s> 
wikipedia.org | <s> These investments include the creation of over 9,000 units of affordable assisted living; more than 35,000 units of affordable housing; 3 million square feet of health center space providing more than 1 million patient visits annually; $500 million for developing charter schools creating more than 200,000 seats for children; and healthy food retail in over 60 locations. </s> 
wikipedia.org | <s> These five clubs, all located within an hour-and-a-half drive of Winnipeg, cited the long travel distance to northern Manitoba, where the KJHL's other six teams are located, as the main reason for leaving to create the new league. </s> 
wikipedia.org | <s> Aqua Trace relates to an installation by Arocha entitled Hide (1997) for the Museum of Contemporary Art, Chicago, and which featured leopard-print patterns created with mirrored Plexiglas. </s> 
wikipedia.org | <s> Rather than creating this foundation for philanthropic causes, Mr. Bernstein created it simply as a way to keep the inheritance he received from his father safe until he could decide what to do with it. </s> 
wikipedia.org | <s> The cave is composed of dolomite and limestone creating a karstic complex which dates back to the Mesozoic era, specifically during the Jurassic and Cretaceous periods, giving rise to three different areas. </s> 
wikipedia.org | <s> Along with cell shape changes, cell rearrangements, apoptosis and growth, oriented cell division modifies the geometry and topology of live tissue in order to create new organs and shape the organisms. </s> 
wikipedia.org | <s> Rogers did not feel able to create a matching italic, and asked the calligrapher Frederic Warde if he could pair Centaur with a design Warde had created based upon Ludovico Arrighi's 1520 chancery face, made in 1926 for the Officina Bodoni. </s> 
wikipedia.org | <s> Created in 2008, Cevital MTP (Public Works Equipment) specializes in the renting of the equipment of public works, transportation and construction. </s> 
wikipedia.org | <s> An alternative generic name for S. thailandicus was proposed by Jeremy E. Martin, Komsorn Lauprasert, Eric Buffetaut, Romain Liard and Varavudh Suteethorn in 2013 following the discovery of cranial elements associated with the mandibular remains, creating the combinatio nova Chalawan thailandicus. </s> 
wikipedia.org | <s> Hence it was the period before it was discovered that by adding tin to copper one could create bronze, a metal alloy harder and stronger than either component. </s> 
wikipedia.org | <s> In 2017 the FFF reorganised amateur football along the lines of the 2016 reorganisation of the Regions of France, creating Championnat National 2 and Championnat National 3 to replace CFA and CFA2. </s> 
wikipedia.org | <s> After six months in Cleveland, Young left for New York where he created another female flapper strip, Beautiful Bab, which the Bell Syndicate began distributing on July 15, 1922. </s> 
wikipedia.org | <s> What creates hell is therefore not our animal side but our human side–things like our ability to think, use language, build relationships, and create societies. </s> 
wikipedia.org | <s> As a professor at KAIST, he created KAIST Satellite Technology Research Center and lead a collaboration with students from KAIST and University of Surrey to successfully engineer the first Korean satellite, KITSAT-1, also named "Our Star". </s> 
wikipedia.org | <s> In May 2014, he created a trail guide for river voyagers after completing a journey down river from Spartanburg to the Atlantic coast. </s> 
wikipedia.org | <s> Christ Church was the first church to be built in North Shields, originally a small fishing village created by Prior Germanus of Tynemouth Priory in the thirteenth century. </s> 
wikipedia.org | <s> According to the report, Mr. Steele created another, previously unreleased memo in late November 2016, which said the Kremlin "intervened to block" Mr. Trump's choice of Mr. Romney for secretary of state. </s> 
wikipedia.org | <s> Chrome River Technologies is an American software-as-a-service (SaaS) company that creates expense reporting and supplier invoice automation software for mid-size to large commercial and non profit organizations and higher education institutions worldwide. </s> 
wikipedia.org | <s> The Society of Clinical Research Associates (SOCRA) has developed an International Certification Program in order to create an internationally accepted standard of knowledge, education, and experience by which CRPs will be recognized as Certified Clinical Research Professionals (CCRP®s) in the clinical research community. </s> 
wikipedia.org | <s> During this time Callender also created and produced the British cult hit The Last Resort which changed the face of late night television in the UK and launched the career of British TV personality Jonathan Ross. </s> 
wikipedia.org | <s> Vasari promulgated the idea that artistic skill was endowed upon chosen individuals by gods, which created an enduring and largely false popular misunderstanding of many artistic processes. </s> 
wikipedia.org | <s> Technology has provided the internet, wireless connectivity and collaboration tools such as blogs and wikis, and has as such created the possibility of "mass collaboration". </s> 
wikipedia.org | <s> Lakeland was created by Edwin Newman, who improved the original 238 acres (0.96 km2) located to the west of the railroad. </s> 
wikipedia.org | <s> In August 1717, King Louis XV accepted the offer of Scottish financier John Law to create a joint stock company to manage colonial growth. </s> 
wikipedia.org | <s> Those images are created from records of the amounts of red, green and blue light present at each point of the image formed by the camera lens. </s> 
wikipedia.org | <s> Rugby union goalposts are 5.6 m (18.3 ft) apart and extend vertically from the ground being connected by a crossbar at 3 m (9.8 ft), creating an H-shape. </s> 
wikipedia.org | <s> In a sense, Shearith Israel helped create three of the largest and most significant Jewish religious organizations in the United States: JTS, the OU, and USCJ. </s> 
wikipedia.org | <s> He helped create the Colorado Clean Energy Development Authority, which issued bonds to finance projects that involve the production, transportation and storage of clean energy until it was repealed in 2012. </s> 
wikipedia.org | <s> In May 2007, Reum launched his first company called VEEV Spirits with a vodka brand that was both the first liquor made with acai and the first to be created in a sustainable facility . The product, which was an açaí-infused wheat based grain alcohol liquor, initially sold in high end bars, nightclubs and high-profile celebrity events out of the back of his car before becoming a national success with a product portfolio that eventually including the first line of certified organic RTD cocktails called VitaFrute . VeeV Spirits products were available in major retail chains, specialty shops, bodegas and independent liquor and retail stores, as well as bars, nightclubs, public and private event spaces, hospitality suites and Virgin America airlines. </s> 
wikipedia.org | <s> In November 2012, Cracker Barrel licensed its name to Smithfield Foods' John Morrell Division in a deal to create a line of meat products to be sold in supermarkets and through other retail channels. </s> 
wikipedia.org | <s> In February 2018, British computer scientist Junade Ali created a communication protocol (using k-anonymity and cryptographic hashing) to anonymously verify if a password was leaked without fully disclosing the searched password. </s> 
wikipedia.org | <s> The characters first appear in The Invaders #14 (March 1977) and were created by Roy Thomas, Jack Kirby, and Frank Robbins. </s> 
wikipedia.org | <s> The successes of the cultural revolution include raising the literacy rate to 87.4% of the population (according to the census of 1939), creating an extensive system of secondary schools, and significant development of science and the arts. </s> 
wikipedia.org | <s> Banco Nacional de Venezuela was created by act of Congress, May 17, 1841, with a capital of 2.5 million pesos. </s> 
wikipedia.org | <s> He praised Parker for creating psychedelia by leaving the listener "simultaneously baffled and intrigued", rather than resorting to clichéd psychedelic music effects. </s> 
wikipedia.org | <s> DEKA joined with Farmers Trading Company in 1992 to create Farmers Deka Limited. 1996 saw the launch of DEKA's new slogan "You Know Where" which was later changed to "Better value, every day". </s> 
wikipedia.org | <s> In 1999, the university signed the Talloires Declaration, which committed Dalhousie and other higher education institutions to developing, creating , supporting, and maintaining sustainability. </s> 
wikipedia.org | <s> In a 2001 Internet chat with fans, Jackson said "Heal the World" was the song he was most proud to have created . </s> 
wikipedia.org | <s> The game also has an invention system with which players take photographs of various items and combine them to generate ideas for inventions, which can be created if players have the required materials. </s> 
wikipedia.org | <s> As such, he had to rely on his imagination to create everything, with the exception of the buffet room, which he based on the actual room he had explored, and the caves under the hotel, which were partly inspired by the Dan yr Ogof caves in Wales. </s> 
wikipedia.org | <s> As part of Darwin 2009, the education team at the Regenerative Medicine Partnership in Education created unique curriculum pieces for each institution. </s> 
wikipedia.org | <s> Of the principal sources that Wagner used in creating the Ring cycle, the Scandinavian Eddas – the Poetic Edda and the Prose Edda – provided most of the material for Das Rheingold. </s> 
wikipedia.org | <s> In some data grids it may be necessary to create a federated RMS architecture because of different administrative policies and a diversity of possibilities found within the data grid in place of using a single RMS. </s> 
wikipedia.org | <s> Dean Hall created the concept while he was a soldier in the New Zealand Army, as a suggestion for training soldiers through exposure to situations provoking emotion and relevant thought processes. </s> 
wikipedia.org | <s> This was the first film released by Signscope, which was a company started by Wechsberg and producer Gary Holstrom to create and distribute Deaf films. </s> 
wikipedia.org | <s> Typically, electric guitars are heavily distorted and dark ambient aspects such as keyboards or synthesizers are often used to create a "dreamlike" atmosphere. </s> 
wikipedia.org | <s> Spector had created hits such as "Be My Baby" and "You've Lost That Lovin' Feelin'" with his "wall of sound" production technique in the 1960s, and had some success in the early 1970s by producing albums by John Lennon and George Harrison; however, his behaviour became increasingly erratic. </s> 
wikipedia.org | <s> Delivery is a 2005 animated short film by German digital and visual artist, graphic designer and filmmaker Till Nowak, created as his thesis film project. </s> 
wikipedia.org | <s> In 2013, Silicon Knights was involved in a dispute with Ontario's Federal Economic Development Agency, after it received a 2010 loan of around US$4 million for the development of a new mainstream video game that would create more than 65 jobs. </s> 
wikipedia.org | <s> In this regards, Torbjörn was the defining character for the game, as while he was not created first, his art style was originally created by Tsang to help bridge the gap between the Warcraft universe to Overwatch. </s> 
wikipedia.org | <s> The institute opened with the building in 1983 and is a mini-retrospective touching on each of the major type of work he created with this medium. </s> 
wikipedia.org | <s> He also created and hosted two Fox television specials in 2000 called Challenge of the Child Geniuses, the last game show he hosted. </s> 
wikipedia.org | <s> A logic gate is generally created from one or more electrically controlled switches, usually transistors but thermionic valves have seen historic use. </s> 
wikipedia.org | <s> On 2 March 2013, the diocesan synod voted in favour of proposals to abolish the diocese in order to create a larger Leeds diocese; the proposal was approved on 8 July 2013 by the General Synod and the scheme was enacted, dissolving Bradford diocese and creating Leeds diocese, on 20 April. </s> 
wikipedia.org | <s> Out of this movement towards generalized punishment, a thousand "mini-theatres" of punishment would have been created wherein the convicts' bodies would have been put on display in a more ubiquitous, controlled, and effective spectacle. </s> 
wikipedia.org | <s> When you visit a room in a MOO, you see its description as you enter and you can create virtual objects in a room that themselves can be described. </s> 
wikipedia.org | <s> Donald McKayle (July 6, 1930 – April 6, 2018) was an American modern dancer, choreographer, teacher, director and writer best known for creating socially conscious concert works during the 1950s and '60s that focus on expressing the human condition and, more specifically, the black experience in America. </s> 
wikipedia.org | <s> Meanwhile, the nanomachines that the Chief created planned to swarm the world and create a global catastrophe if they weren't stopped. </s> 
wikipedia.org | <s> As his wife was created a life peer as Baroness Hogg in 1995, the Hailshams are among the few couples both of whom hold noble titles in their own right. </s> 
wikipedia.org | <s> Often turbans were created as part of eveningwear; an example of a Biba evening coat and matching turban in rayon and Lurex knit is now part of the Victoria and Albert Museum archive. </s> 
wikipedia.org | <s> Accompanying the single release is a music video that takes the space adventure theme, drawing on inspiration from classic 80s space adventure cartoons, such as Ulysses 31, to create a cosmic adventure complete with lost love and space monsters. </s> 
wikipedia.org | <s> The title was created anew in 1707, again in the Peerage of Scotland, for James Graham, 4th Marquess of Montrose. </s> 
wikipedia.org | <s> With Atsushi, together with Fuyu and Phekoo, he contributes in the band Red Diamond Dogs, which Atsushi had created for his solo career, after Exile's hiatus in 2016. </s> 
wikipedia.org | <s> By 1902, a Division of Foreign Markets had been created , and the following year, that division was merged with the Division of Statistics to form the Bureau of Statistics. </s> 
wikipedia.org | <s> The application of technology and the factory system created such levels of mass production and cost efficiency that enabled British manufacturers to export inexpensive cloth and other items worldwide. </s> 
wikipedia.org | <s> Seilacher has suggested that the Ediacaran organisms represented a unique and extinct grouping of related forms descended from a common ancestor (clade) and created the kingdom Vendozoa, named after the now-obsolete Vendian era. </s> 
wikipedia.org | <s> Later that year, the fourth World Conference of the Girl Guiding and Girl Scouting Movement (where World Thinking Day was created ) was held there. </s> 
wikipedia.org | <s> Today at the Hawaiian Historical Society Library in Honolulu are reproductions of 237 rare glass-plate photographs that Arning created during his stay in Hawaii. </s> 
wikipedia.org | <s> As Lord Cork's nominee, Harris sat in the Irish House of Commons in the Irish Parliament of 1613–15 as one of the two members for Clonakilty, a borough which had been newly created at Lord Cork's instigation as part of his plan to build a political empire in the south of Ireland. </s> 
wikipedia.org | <s> The trio released their debut single"Jana Usiku" in November 2013 that became a great success, creating a pavement on their subsequent singles. </s> 
wikipedia.org | <s> The book provides a forum for multiple responses and creates a dialogue between Elders, who apply their experience and knowledge to the following topics: Overcoming life's obstacles; parent-child relationships; sibling rivalry; self-discovery; lasting love; decision-making; career; aging; and loss. </s> 
wikipedia.org | <s> Creating the boxes at the time was not a simple task for the developers; the boxes were shrink-wrapped by hand, with the help of a kitchen heat sealer and a sandwich toaster. </s> 
wikipedia.org | <s> Electronic Chart Centre AS is Norwegian government enterprise created in 1999 to create and publish nautical charts for use by ships and boats. </s> 
wikipedia.org | <s> They approved an agreement with the bondholders of loans from 1871–72,the autonomy to the National University was given; the Faculty of Physics and Mathematics was created ; treaties were signed Diaz-Leon Gutierrez, with Bolivia, and Ibarra-Mangabeira, with Brazil, supplementary to the treaty of 1872. </s> 
wikipedia.org | <s> More recent self-report tools include The Empathy Quotient (EQ) created by Baron-Cohen and Wheelwright which comprises a self-report questionnaire consisting of 60 items. </s> 
wikipedia.org | <s> Emperor Guangwu, then still an official under Gengshi Emperor, had married Yin in 23 and, after he became emperor in 25, had wanted to create her empress, but she declined because she had no sons at that point. </s> 
wikipedia.org | <s> His mother Princess Guo, however, despite her having been Li Chun's wife, was not created empress, but only an imperial consort, albeit with the high rank of Guifei (貴妃). </s> 
wikipedia.org | <s> Every race would dispatch a Rocket Ship with a pre-determined size, mass and equipment, stocked with materials, personnel and equipment to create a city analogous of modern Earth technology and infrastructure. </s> 
wikipedia.org | <s> However, the same non-profit organization may also create another mobile app to spread awareness of the services to communities among the general public including those communities – and that mobile app would not come under definition of enterprise mobile application. </s> 
wikipedia.org | <s> One is that they can create virtual replicas of themselves (known as "partials" or "ghosts") that contain functional parts of their full personality and are able to operate independently, on their behalf, and then reintegrate their experiences with their original later. </s> 
wikipedia.org | <s> The association aims to create business contacts and supports German companies entering markets or expanding their activities to the region, with emphasis on the enhancement of mutual cultural understanding as a foundation for any long-term partnerships or engagements. </s> 
wikipedia.org | <s> The European Fencing Confederation (EFC; French: Confédération européenne d'escrime, CEE) is an international body created in 1991, charged with the promotion and development of fencing in Europe. </s> 
wikipedia.org | <s> A monetary union of these countries with current account surpluses would create the world's largest creditor bloc, bigger than China or Japan. </s> 
wikipedia.org | <s> The limestone underneath the Big Cypress contains quartz, which creates sandy soil that hosts a variety of vegetation different from what is found in other areas of the Everglades. </s> 
wikipedia.org | <s> The video was directed by Eilish, who stated; "My brother and I wrote this song about each other and I wanted to create a visual that emphasizes that no matter what, we'll be there for each other through everything. </s> 
wikipedia.org | <s> Instead of building chat functionality into the BBS, Mahoney created a separate system, Exec-PC Chat, which ran alongside the Exec-PC BBS. </s> 
wikipedia.org | <s> Instead, almost all current "artificial intelligence" research focuses on creating algorithms that "optimize", in an empirical way, the achievement of an arbitrary goal. </s> 
wikipedia.org | <s> Cosmic dust contains complex organic compounds (amorphous organic solids with a mixed aromatic-aliphatic structure) that can be created naturally by stars and radiation. </s> 
wikipedia.org | <s> Faris Scherwiz is a pirate captain who was created as a protagonist for Final Fantasy V by Hironobu Sakaguchi, who based the idea of her being a Princess disguised as a man on the manga Princess Knight. </s> 
wikipedia.org | <s> Following the completion of his term as Prime Minister he was created a Tongan life peer by King George Tupou V with the noble title of Lord Sevele of Vailahi. </s> 
wikipedia.org | <s> Eric Millikin and Casey Sorrow also created the holiday Monkey Day (celebrated December 14) as an opportunity to educate the public about monkeys, as a holiday that supports evolution rather than religious themes, and an excuse to throw monkey-themed costume parties. </s> 
wikipedia.org | <s> Likewise, the dashboard used a padded, washable fabric supported by a simple tube, creating a long, flexible storage pocket – accompanied by rigid plastic door storage pockets. </s> 
wikipedia.org | <s> Assuming that each user is the only member of its user private group, this scheme allows an umask of 002 to be used without allowing other users to write to newly created files in normal directories because such files are assigned to the creating user's private group. </s> 
wikipedia.org | <s> Then, in March 1098, Baldwin became the new ruler, thus creating the County of Edessa, the first of the crusader states. </s> 
wikipedia.org | <s> The canton of Aargau was created as an administrative division of the Helvetic Republic, and its flag is an original design by Samuel Ringier-Seelmatter of Zofingen (1767–1826), dating to 1803. </s> 
wikipedia.org | <s> Many Adobe Flash animations are created by individual or amateur artists and many that are first distributed on the web became popular enough to be broadcast on television, particularly on such networks as MTV and G4. </s> 
wikipedia.org | <s> One reason for this is "indigenismo" the ongoing struggles of a number of indigenous communities to resist outside influences into their cultures and Mexican government efforts to assimilate them to create a homogenous national identity. </s> 
wikipedia.org | <s> Foxfire, also called fairy fire or chimpanzee fire, is the bioluminescence created by some species of fungi present in decaying wood. </s> 
wikipedia.org | <s> Scanlan also created a renewal center on the campus, which organized retreats and seminars to further instruct students in the Roman Catholic faith. </s> 
wikipedia.org | <s> Based on the premise that the only true education is self-education, the system created seminar courses for selected students that were more challenging than the regular curriculum. </s> 
wikipedia.org | <s> French Connect was created in 2004 in response to the demand from French airports for a dedicated event that would put them in contact with low-cost carriers. </s> 
wikipedia.org | <s> In Milan, the Cisalpine Republic was created , which was governed jointly by a Directory and Councils and by the French army. </s> 
wikipedia.org | <s> The most recent initiative at Cubbon Park, Bangalore, brought to light various issues ranging from corruption to women's rights, and gained attention from the Bangalore Media for the powerful concept and impact that it created . </s> 
wikipedia.org | <s> While superficially similar to brass rubbing and other forms of rubbing intended to reproduce an existing subject, and in fact sometimes being used as an alternative term for it, frottage implies using this rubbing technique to create an original image. </s> 
wikipedia.org | <s> The Hong Kong Alliance in Support of Patriotic Democratic Movements (HKASPDM) was created on the 21 of May 1989, a day when "one million Hong Kong citizens participated in a parade which lasted for eight hours in support for the mainland students". </s> 
wikipedia.org | <s> Agee was nominated on March 13, 2008 by President George W. Bush to fill a vacancy on the Fourth Circuit created by Judge J. Michael Luttig, who resigned on May 10, 2006. </s> 
wikipedia.org | <s> These make up a relatively closed set, but although the average user is not expected to create their own fundamental types, the possibility does exist and has been exploited to create custom class hierarchies – i.e., class hierarchies not based on the class. </s> 
wikipedia.org | <s> In 1934, Salvemini accepted to teach Italian civilization – a position created especially for him – at Harvard University, where he would remain until 1948. </s> 
wikipedia.org | <s> In October 2011, he was presented by the Nuclear Threat Initiative, led by Sam Nunn and Ted Turner, the Amartya Sen Award 'for intrepid and creative leadership in creating momentum toward a world free of nuclear weapons'. </s> 
wikipedia.org | <s> Schyman moved into video game composition with Voyeur, released in 1993, after being asked to by his friend Robert Weaver, an executive at Philips, which was creating and publishing the game for its CD-i system. </s> 
wikipedia.org | <s> Profiles are often created in support for GML derived languages (see application schemas) created in support of particular application domains such as commercial aviation, nautical charting or resource exploitation. </s> 
wikipedia.org | <s> More than 500 named creeks and rivers make up Oklahoma's waterways, and with 200 lakes created by dams, it holds the highest number of reservoirs in the nation. </s> 
wikipedia.org | <s> Beginning 23 million years ago, the Adriatic Plate continued to approach the Eurasian Plate, resulting in crustal shortening and extended the orogenic eastward, creating the Styrian, Carpathian, Pannonian and Vienna basins. </s> 
wikipedia.org | <s> Body lice have been found to be more likely to be host specific than wing lice, possibly due to their host ecology where terrestrial pigeons feeding on the ground may create an easier transfer of lice and therefore be more likely to carry host specific body lice than arboreal birds. </s> 
wikipedia.org | <s> In the theatre, he created the role of Mickey Johnstone in Willy Russell's musical Blood Brothers, originally at the Liverpool Playhouse, and later at the Lyric Theatre, London. </s> 
